gmlid,area,fixed,lat,lon
n23012,1,50,43.043751,141.305428
n23013,1,50,43.057305,141.311483
n23014,1,50,43.057305,141.30315
n23015,1,50,43.050833,141.298262
n23016,1,50,43.043085,141.318733
n23017,1,50,43.061334,141.353895
n23018,1,50,43.060988,141.351232
n23019,1,0,43.061779,141.359173
n23020,1,50,43.046975,141.350174
n23021,1,50,43.044904,141.337476
n23022,1,50,43.040276,141.330807
n23023,1,0,43.041402,141.349411
n23024,1,50,43.037264,141.33606
n23025,1,50,43.035857,141.347936
n23026,1,50,43.056969,141.341042
n23027,1,50,43.056195,141.329702
n23028,1,0,43.059525,141.354882
n23029,1,50,43.058875,141.349532
n23030,1,50,43.060838,141.3645
n23031,1,50,43.030798,141.343101
n23032,1,50,43.022921,141.345565
n23033,1,50,43.054961,141.321629
n23034,1,50,43.056844,141.346829
n23035,1,50,43.056613,141.353466
n23036,1,50,43.057143,141.360134
n23037,1,50,43.054165,141.349809
n23038,1,50,43.051974,141.338842
n23039,1,50,43.050557,141.325399
n23040,1,50,43.05067,141.354157
n23041,1,50,43.050235,141.345725
n23042,1,50,43.047446,141.331287
n23043,1,50,43.069915,141.321064
n23044,1,50,43.073109,141.333191
n23045,1,50,43.060852,141.341059
n23046,1,50,43.058853,141.326126
n23047,1,0,43.062129,141.346552
n23048,1,50,43.061025,141.346107
n23049,1,50,43.063884,141.353492
n23050,1,50,43.063459,141.350133
n23051,1,50,43.067436,141.374943
n23052,1,50,43.064955,141.358191
n23053,1,50,43.065709,141.362765
n23054,1,50,43.065382,141.366099
n23055,1,50,43.060113,141.314136
n23056,1,50,43.064669,141.351559
n23057,1,50,43.06413,141.346762
n23058,1,50,43.063299,141.326627
n23059,1,50,43.0656,141.334463
n23060,1,50,43.067001,141.346955
n23061,1,50,43.065028,141.3184
n23062,1,50,43.155606,141.39696
n23063,1,50,43.164365,141.389914
n23064,1,50,43.144573,141.359168
n23065,1,50,43.145691,141.365953
n23066,1,50,43.122256,141.329501
n23067,1,50,43.109894,141.311245
n23068,1,50,43.107304,141.327039
n23069,1,50,43.116516,141.316174
n23070,1,50,43.125386,141.305849
n23071,1,50,43.114034,141.328336
n23072,1,50,43.12313,141.314527
n23073,1,50,43.117745,141.323785
n23074,1,50,43.096995,141.314563
n23075,1,50,43.102237,141.311843
n23076,1,50,43.111244,141.303285
n23077,1,50,43.132978,141.355947
n23078,1,50,43.156964,141.380682
n23079,1,50,43.164538,141.353904
n23080,1,50,43.127143,141.33652
n23081,1,50,43.128675,141.328535
n23082,1,50,43.137129,141.328463
n23083,1,50,43.139832,141.339439
n23084,1,50,43.077776,141.345895
n23085,1,50,43.081273,141.345499
n23086,1,50,43.087715,141.343849
n23087,1,50,43.088612,141.326503
n23088,1,50,43.098188,141.325376
n23089,1,50,43.09603,141.341212
n23090,1,50,43.095233,141.334278
n23091,1,50,43.101638,141.341516
n23092,1,50,43.108633,141.338838
n23093,1,50,43.069054,141.351893
n23094,1,50,43.068764,141.345957
n23095,1,50,43.070979,141.35187
n23096,1,50,43.106703,141.387545
n23097,1,50,43.105665,141.421089
n23098,1,50,43.08841,141.406411
n23099,1,50,43.097058,141.41499
n23100,1,50,43.075,141.384837
n23101,1,50,43.096291,141.40002
n23102,1,50,43.087676,141.39448
n23103,1,50,43.075701,141.353902
n23104,1,50,43.079833,141.375809
n23105,1,50,43.083162,141.363513
n23106,1,50,43.083302,141.351378
n23107,1,50,43.088958,141.376307
n23108,1,50,43.093664,141.361115
n23109,1,50,43.096185,141.371595
n23110,1,50,43.09726,141.38294
n23111,1,50,43.093739,141.35006
n23112,1,50,43.099774,141.359281
n23113,1,50,43.100747,141.348875
n23114,1,50,43.104978,141.357409
n23115,1,50,43.108759,141.368392
n23116,1,50,43.109648,141.345465
n23117,1,50,43.111018,141.357631
n23118,1,50,43.116387,141.366645
n23119,1,50,43.116042,141.351248
n23120,1,50,43.122599,141.357922
n23121,1,50,43.069276,141.356
n23122,1,50,43.074404,141.364468
n23123,1,50,43.125189,141.406442
n23124,1,50,43.125996,141.400387
n23125,1,50,43.077941,141.395792
n23126,1,50,43.028654,141.434567
n23127,1,0,43.039282,141.401031
n23128,1,0,43.036089,141.409281
n23129,1,50,43.055013,141.379022
n23130,1,50,43.061812,141.378578
n23131,1,50,43.07222,141.408775
n23132,1,0,43.063499,141.389986
n23133,1,0,43.048054,141.445793
n23134,1,0,43.058188,141.437585
n23135,1,0,43.051259,141.401772
n23136,1,50,43.051546,141.391555
n23137,1,0,43.083445,141.447268
n23138,1,50,43.0347,141.422002
n23139,1,0,43.047076,141.398016
n23140,1,0,43.044437,141.404031
n23141,1,50,43.047524,141.418312
n23142,1,0,43.049677,141.437187
n23143,1,50,43.054553,141.421899
n23144,1,0,43.061246,141.415263
n23145,1,0,43.064781,141.424389
n23146,1,0,43.041292,141.417121
n23147,1,0,43.04178,141.423447
n23148,1,50,43.033506,141.436168
n23149,1,0,43.048754,141.41078
n23150,1,0,43.024756,141.398838
n23151,1,0,43.032565,141.395333
n23152,1,50,43.013694,141.41911
n23153,1,50,43.025836,141.428057
n23154,1,50,43.04467,141.363673
n23155,1,50,43.018893,141.385509
n23156,1,50,43.000403,141.382958
n23157,1,50,43.026533,141.357786
n23158,1,50,43.037592,141.361432
n23159,1,50,43.040203,141.388632
n23160,1,50,43.036898,141.384409
n23161,1,50,43.011478,141.394979
n23162,1,50,43.025434,141.367523
n23163,1,50,43.039249,141.370391
n23164,1,50,43.033665,141.376861
n23165,1,50,43.025522,141.380913
n23166,1,50,43.04996,141.374227
n23167,1,0,43.046051,141.379548
n23168,1,50,43.052845,141.367375
n23169,1,50,42.943394,141.345444
n23170,1,50,42.995869,141.353816
n23171,1,50,42.988898,141.352927
n23172,1,50,42.984842,141.352872
n23173,1,50,43.005618,141.348705
n23174,1,50,43.016683,141.366242
n23175,1,50,43.013509,141.365825
n23176,1,50,42.999954,141.367102
n23177,1,50,43.013013,141.375773
n23178,1,50,42.96804,141.333841
n23179,1,50,42.962204,141.343469
n23180,1,50,42.999752,141.329545
n23181,1,50,42.987931,141.334004
n23182,1,50,42.966922,141.167361
n23183,1,50,42.96226,141.292155
n23184,1,50,42.960983,141.306876
n23185,1,50,42.959722,141.298701
n23186,1,50,43.013145,141.34693
n23187,1,50,42.987755,141.313834
n23188,1,50,42.963103,141.262921
n23189,1,0,43.092813,141.26493
n23190,1,0,43.079008,141.307557
n23191,1,50,43.075969,141.302454
n23192,1,50,43.067803,141.294344
n23193,1,50,43.074787,141.29569
n23194,1,50,43.086855,141.276091
n23195,1,50,43.079108,141.289177
n23196,1,0,43.079367,141.274698
n23197,1,0,43.073138,141.279851
n23198,1,50,43.066814,141.272182
n23199,1,0,43.06926,141.263191
n23200,1,50,43.069909,141.315459
n23201,1,50,43.067931,141.308929
n23202,1,50,43.081719,141.309037
n23203,1,0,43.086682,141.314489
n23204,1,50,43.081149,141.320256
n23205,1,0,43.09319,141.306147
n23206,1,50,43.095673,141.293377
n23207,1,0,43.087315,141.294427
n23208,1,0,43.099309,141.277374
n23209,1,0,43.057387,141.270041
n23210,1,50,43.061216,141.263166
n23211,1,50,43.058383,141.251414
n23212,1,0,43.031592,141.491246
n23213,1,0,43.024898,141.499912
n23214,1,0,43.037258,141.490385
n23215,1,0,43.048667,141.463747
n23216,1,50,43.03278,141.462763
n23217,1,50,43.036632,141.470892
n23218,1,0,43.038812,141.473108
n23219,1,0,43.043513,141.461553
n23220,1,50,43.044461,141.48305
n23221,1,0,43.057832,141.479859
n23222,1,0,43.020573,141.471053
n23223,1,0,43.03073,141.47747
n23224,1,50,43.026258,141.453944
n23225,1,50,43.122406,141.227819
n23226,1,0,43.123953,141.22421
n23227,1,0,43.126866,141.206622
n23228,1,0,43.11758,141.24299
n23229,1,0,43.147988,141.238228
n23230,1,0,43.131013,141.235956
n23231,1,0,43.111089,141.267818
n23232,1,0,43.116118,141.26992
n23233,1,0,43.133445,141.211919
n23234,1,0,43.136376,141.199181
n23235,1,0,43.121108,141.24272
n23236,1,0,43.118441,141.257256
n23237,1,0,43.136027,141.241871
n23238,1,50,43.127601,141.255317
n23239,1,50,43.106899,141.250925
n23240,1,0,42.987081,141.440019
n23241,1,0,42.999591,141.442322
n23242,1,50,43.001071,141.43319
n23243,1,0,42.994597,141.430884
n23244,1,0,42.987812,141.448171
n23245,1,0,42.978713,141.460108
n23246,1,0,42.997049,141.458425
n23247,1,50,43.01022,141.453918
n23248,1,50,43.009688,141.473799
n23249,1,50,43.013302,141.431386
n23250,1,50,43.019437,141.434829
n23251,1,50,43.019942,141.448319
n23252,1,0,42.98886,141.461488
n23253,1,50,42.999602,141.47297
n23254,1,50,41.766346,140.728155
n23255,1,0,41.916143,140.958564
n23256,1,0,41.933131,140.947165
n23257,1,50,41.788679,140.786706
n23258,1,50,41.782678,140.730459
n23259,1,50,41.733496,140.936383
n23260,1,50,41.718221,141.007441
n23261,1,50,41.795426,140.733653
n23262,1,0,41.800926,140.734541
n23263,1,0,41.792043,140.856726
n23264,1,0,41.846476,140.724021
n23265,1,0,41.785393,141.149387
n23266,1,50,41.762569,140.716906
n23267,1,50,41.759296,140.86306
n23268,1,0,41.865671,141.117373
n23269,1,0,41.798148,141.175285
n23270,1,0,41.80337,140.724209
n23271,1,0,41.788819,140.807177
n23272,1,0,41.767655,140.812399
n23273,1,50,41.78129,140.754152
n23274,1,50,41.715081,140.953139
n23275,1,50,41.771484,140.727266
n23276,1,0,41.760975,141.081895
n23277,1,0,41.742077,140.919085
n23278,1,0,41.81823,140.743151
n23279,1,50,41.818646,140.733652
n23280,1,50,41.79015,140.75879
n23281,1,50,41.784511,140.739375
n23282,1,50,41.781681,140.810038
n23283,1,0,41.783458,140.79765
n23284,1,50,41.773984,140.734126
n23285,1,0,41.832019,141.142229
n23286,1,50,41.784263,140.776707
n23287,1,50,41.813556,140.769368
n23288,1,50,41.781207,140.759902
n23289,1,0,41.801621,140.828746
n23290,1,0,41.829361,140.723878
n23291,1,0,41.756486,140.71799
n23292,1,0,41.752686,140.884309
n23293,1,0,41.782039,140.745902
n23294,1,0,41.908848,140.972518
n23295,1,50,41.762338,141.076224
n23296,1,50,41.761407,140.831731
n23297,1,0,41.992427,140.894741
n23298,1,50,41.746032,141.075407
n23299,1,0,41.768124,140.72446
n23300,1,0,41.96494,140.919555
n23301,1,50,41.769456,140.709628
n23302,1,0,41.778012,140.733681
n23303,1,0,41.805255,140.761308
n23304,1,0,41.809426,140.764678
n23305,1,0,41.80246,140.754923
n23306,1,0,41.804788,140.773928
n23307,1,50,41.780597,140.788207
n23308,1,0,41.778292,140.786679
n23309,1,50,41.776958,140.774402
n23310,1,0,41.787475,141.106809
n23311,1,50,41.733888,141.051141
n23312,1,0,41.795373,140.781484
n23313,1,50,41.802733,140.792205
n23314,1,50,41.775429,140.748458
n23315,1,0,41.788928,140.766596
n23316,1,50,41.796454,140.74593
n23317,1,0,41.891778,141.018749
n23318,1,50,41.814619,140.757012
n23319,1,0,41.823508,140.759733
n23320,1,0,41.803454,140.74368
n23321,1,0,41.808897,140.745901
n23322,1,0,41.770817,140.704906
n23323,1,0,41.761763,140.72135
n23324,1,0,41.796454,140.727903
n23325,1,50,41.777873,140.741931
n23326,1,0,41.790233,140.750263
n23327,1,0,41.796789,140.774845
n23328,1,50,41.788399,140.73157
n23329,1,0,41.886653,141.066988
n23330,1,0,43.218527,140.95967
n23331,1,50,43.195419,140.996503
n23332,1,50,43.198585,140.994141
n23333,1,0,43.202141,140.995669
n23334,1,0,43.209916,140.92159
n23335,1,0,43.181865,141.007558
n23336,1,0,43.177087,141.000643
n23337,1,50,43.192169,140.997503
n23338,1,50,43.187753,140.999059
n23339,1,0,43.20787,140.99681
n23340,1,50,43.219388,140.966864
n23341,1,0,43.21875,141.012222
n23342,1,0,43.183114,140.981671
n23343,1,50,43.190975,141.007141
n23344,1,0,43.177699,141.036139
n23345,1,0,43.179839,141.024977
n23346,1,50,43.230194,141.012443
n23347,1,50,43.19728,141.00128
n23348,1,0,43.185504,141.011114
n23349,1,50,43.174117,141.056443
n23350,1,0,43.224388,140.994556
n23351,1,50,43.143068,141.147963
n23352,1,0,43.142013,141.162017
n23353,1,0,43.183242,141.025135
n23354,1,0,43.1539,141.122297
n23355,1,0,43.208001,140.980891
n23356,1,0,43.208862,140.968142
n23357,1,0,43.179448,140.99206
n23358,1,0,43.208053,140.863733
n23359,1,0,43.214528,140.993835
n23360,1,0,43.210251,140.991141
n23361,1,0,43.16559,141.03864
n23362,1,0,43.198581,140.857817
n23363,1,50,43.192197,140.991114
n23364,1,0,43.187198,140.988365
n23365,1,0,43.770048,142.389171
n23366,1,0,43.764139,142.364821
n23367,1,0,43.767653,142.351284
n23368,1,0,43.767591,142.357211
n23369,1,0,43.765352,142.369299
n23370,1,0,43.773012,142.345993
n23371,1,0,43.764614,142.376423
n23372,1,50,43.771925,142.360167
n23373,1,0,43.769347,142.373185
n23374,1,50,43.773416,142.366698
n23375,1,0,43.787407,142.351757
n23376,1,50,43.810511,142.43312
n23377,1,0,43.797989,142.426432
n23378,1,0,43.789707,142.412651
n23379,1,0,43.786275,142.401476
n23380,1,0,43.758656,142.379296
n23381,1,50,43.762836,142.358264
n23382,1,50,43.890079,142.239801
n23383,1,0,43.79635,142.354171
n23384,1,0,43.80078,142.382416
n23385,1,0,43.800705,142.364923
n23386,1,0,43.818231,142.358749
n23387,1,0,43.788005,142.384862
n23388,1,0,43.760569,142.345077
n23389,1,0,43.744154,142.356437
n23390,1,50,43.74222,142.372595
n23391,1,0,43.759116,142.336902
n23392,1,0,43.745616,142.343902
n23393,1,0,43.765348,142.330622
n23394,1,0,43.723733,142.185759
n23395,1,0,43.665635,142.402554
n23396,1,0,43.643947,142.450102
n23397,1,0,43.685614,142.391046
n23398,1,0,43.782485,142.349762
n23399,1,0,43.784218,142.360242
n23400,1,0,43.77529,142.319789
n23401,1,0,43.779399,142.373349
n23402,1,0,43.776923,142.381609
n23403,1,0,43.726856,142.454901
n23404,1,50,43.744451,142.425126
n23405,1,0,43.769129,142.468896
n23406,1,0,43.746024,142.574223
n23407,1,0,43.757299,142.543641
n23408,1,0,43.771166,142.441616
n23409,1,0,43.74183,142.407362
n23410,1,0,43.754998,142.402819
n23411,1,0,43.751864,142.393953
n23412,1,0,43.750079,142.412886
n23413,1,0,43.748845,142.387574
n23414,1,50,43.746639,142.398199
n23415,1,0,43.890311,142.416796
n23416,1,0,43.854785,142.437423
n23417,1,0,43.868515,142.387629
n23418,1,0,43.824527,142.416069
n23419,1,0,43.771872,142.41523
n23420,1,0,43.761055,142.390767
n23421,1,0,43.760624,142.411746
n23422,1,0,43.764064,142.400488
n23423,1,0,43.792037,142.341297
n23424,1,0,43.809066,142.393652
n23425,1,50,43.811023,142.377512
n23426,1,0,43.819324,142.388283
n23427,1,0,43.79751,142.401623
n23428,1,50,43.733794,142.377379
n23429,1,0,43.73027,142.384107
n23430,1,50,43.72543,142.381534
n23431,1,0,43.790148,142.328993
n23432,1,0,42.312915,140.970105
n23433,1,50,42.322207,140.969271
n23434,1,50,42.321403,140.997214
n23435,1,0,42.315847,140.971493
n23436,1,50,42.361789,140.989295
n23437,1,50,42.363152,141.038542
n23438,1,50,42.375956,141.035236
n23439,1,50,42.34054,140.948465
n23440,1,50,42.328042,140.953133
n23441,1,50,42.363818,141.025182
n23442,1,0,42.335236,140.959354
n23443,1,50,42.318708,140.972049
n23444,1,50,42.352915,141.014141
n23445,1,50,42.352119,141.020935
n23446,1,50,42.348347,141.02721
n23447,1,50,42.342208,141.026905
n23448,1,50,42.378509,140.939381
n23449,1,50,42.311182,140.995159
n23450,1,50,42.314875,140.989853
n23451,1,50,42.363178,140.982101
n23452,1,50,42.33307,141.007768
n23453,1,50,42.33582,141.012878
n23454,1,50,43.432911,144.096304
n23455,1,0,43.174175,144.222766
n23456,1,50,43.111395,144.12376
n23457,1,0,43.175231,144.100076
n23458,1,0,43.013776,144.388381
n23459,1,0,43.007082,144.389992
n23460,1,50,43.013443,144.39788
n23461,1,0,42.970846,143.879598
n23462,1,50,42.88958,143.932849
n23463,1,0,42.981779,144.384077
n23464,1,0,42.988759,144.378061
n23465,1,50,42.98914,144.38191
n23466,1,0,42.994834,144.40724
n23467,1,0,42.965228,144.424574
n23468,1,50,42.958895,144.428268
n23469,1,0,42.981502,144.394076
n23470,1,50,42.96931,144.41013
n23471,1,0,42.9955,144.37941
n23472,1,50,43.023773,144.354814
n23473,1,0,42.994139,144.388492
n23474,1,0,43.001166,144.382465
n23475,1,0,43.002721,144.372716
n23476,1,0,43.002832,144.352496
n23477,1,0,43.015746,144.319027
n23478,1,0,42.986112,144.389659
n23479,1,50,43.010022,144.274838
n23480,1,50,42.97803,144.379883
n23481,1,50,43.012831,144.357468
n23482,1,50,43.016302,144.338914
n23483,1,0,42.97653,144.395243
n23484,1,50,42.981141,144.404297
n23485,1,0,42.974225,144.374634
n23486,1,50,42.959924,144.446571
n23487,1,0,43.021026,144.407184
n23488,1,0,42.977558,144.386438
n23489,1,0,42.977782,144.422795
n23490,1,0,42.98317,144.4256
n23491,1,0,43.009082,144.37941
n23492,1,0,42.985084,144.384882
n23493,1,0,42.984223,144.377883
n23494,1,0,42.837978,143.192888
n23495,1,1,42.743776,143.162033
n23496,1,0,42.755147,143.008937
n23497,1,0,42.799866,143.067151
n23498,1,0,42.744785,143.08603
n23499,1,0,42.932355,143.183245
n23500,1,0,42.910834,143.182536
n23501,1,0,42.934384,143.169235
n23502,1,0,42.886368,143.176947
n23503,1,0,42.907269,143.166122
n23504,1,0,42.903963,143.156049
n23505,1,0,42.913378,143.151613
n23506,1,0,42.919383,143.138861
n23507,1,0,42.911355,143.137404
n23508,1,0,42.92434,143.122688
n23509,1,0,42.916383,143.122807
n23510,1,0,42.905228,143.204538
n23511,1,0,42.92844,143.201438
n23512,1,50,42.922799,143.200841
n23513,1,0,42.917947,143.199152
n23514,1,0,42.931655,143.194783
n23515,1,0,42.900776,143.196158
n23516,1,0,42.891511,143.195884
n23517,1,0,42.845899,143.180018
n23518,1,0,42.875638,143.152033
n23519,1,0,42.794009,143.163809
n23520,1,50,42.920281,143.205869
n23521,1,50,42.925108,143.223353
n23522,1,0,42.910566,143.209793
n23523,1,50,42.926894,143.210516
n23524,1,0,42.922012,143.214246
n23525,1,50,42.8996,143.180705
n23526,1,0,42.921162,143.170386
n23527,1,0,42.915085,143.174957
n23528,1,50,43.804585,143.831758
n23529,1,50,43.785301,143.891185
n23530,1,50,43.815196,143.860617
n23531,1,50,43.813085,143.88181
n23532,1,50,43.823557,143.917528
n23533,1,50,43.75577,143.836587
n23534,1,50,43.874327,143.854449
n23535,1,50,43.795449,143.891976
n23536,1,0,44.128922,143.971941
n23537,1,50,44.120999,144.070724
n23538,1,50,43.980567,143.947379
n23539,1,50,44.063032,144.030368
n23540,1,50,43.89827,143.898721
n23541,1,50,43.815197,143.89803
n23542,1,50,43.798505,143.915919
n23543,1,50,43.801782,143.900975
n23544,1,50,43.79725,143.757348
n23545,1,50,43.814209,143.904776
n23546,1,50,43.806559,143.898225
n23547,1,50,43.854349,143.943553
n23548,1,50,43.881775,143.999156
n23549,1,50,43.798077,143.855803
n23550,1,50,43.803918,143.810233
n23551,1,50,43.819941,143.882469
n23552,1,50,43.804864,143.88106
n23553,1,50,43.802786,143.893279
n23554,1,50,43.807614,143.892661
n23555,1,50,43.783005,143.872978
n23556,1,50,43.799698,143.878005
n23557,1,0,43.780666,143.615804
n23558,1,50,43.786507,143.6113
n23559,1,50,43.755961,143.509234
n23560,1,50,43.895647,143.637527
n23561,1,50,43.739775,143.450596
n23562,1,50,43.786554,143.621719
n23563,1,50,43.806419,143.84884
n23564,1,50,42.936258,142.038898
n23565,1,50,43.039023,141.962784
n23566,1,50,43.024885,141.972925
n23567,1,50,42.958033,142.029868
n23568,1,50,42.993251,142.009229
n23569,1,50,42.983558,142.014562
n23570,1,0,42.911843,141.973892
n23571,1,50,42.932011,142.093229
n23572,1,50,42.984446,142.008646
n23573,1,50,43.010724,142.048642
n23574,1,50,43.021086,142.08
n23575,1,50,43.058062,141.976807
n23576,1,50,43.04977,141.965203
n23577,1,0,43.199817,141.756135
n23578,1,0,43.202552,141.762884
n23579,1,50,43.211378,141.786889
n23580,1,50,43.202904,141.76934
n23581,1,50,43.197505,141.770416
n23582,1,50,43.218295,141.794547
n23583,1,0,43.162841,141.914589
n23584,1,50,43.120534,141.744359
n23585,1,50,43.1187,141.740526
n23586,1,50,43.146623,141.982445
n23587,1,50,43.119091,141.80538
n23588,1,50,43.208244,141.762434
n23589,1,0,43.165308,141.757383
n23590,1,0,43.15907,141.747966
n23591,1,0,43.190083,141.771352
n23592,1,50,43.162921,141.812321
n23593,1,0,43.181917,141.716811
n23594,1,50,43.18994,141.740179
n23595,1,0,43.160396,141.870388
n23596,1,0,43.187802,141.763451
n23597,1,0,43.2018,141.745426
n23598,1,0,43.264031,141.695026
n23599,1,50,43.1515,141.656864
n23600,1,0,43.993169,144.286369
n23601,1,0,44.048268,144.255987
n23602,1,50,44.012437,144.113548
n23603,1,0,43.888672,144.409731
n23604,1,0,43.999517,144.285239
n23605,1,0,44.012323,144.274764
n23606,1,0,43.961499,144.218459
n23607,1,0,44.02032,144.253186
n23608,1,0,43.966716,144.322793
n23609,1,50,44.013126,144.232049
n23610,1,0,43.99925,144.268799
n23611,1,50,44.020345,144.264106
n23612,1,50,44.020991,144.271397
n23613,1,0,44.02651,144.262579
n23614,1,0,43.955468,144.356873
n23615,1,50,43.98663,144.295239
n23616,1,0,43.934359,141.638184
n23617,1,0,43.939525,141.646489
n23618,1,0,43.951468,141.642544
n23619,1,0,43.91717,141.698624
n23620,1,50,43.925667,141.673515
n23621,1,0,43.851845,141.760706
n23622,1,0,43.942219,141.638517
n23623,1,0,43.905195,141.611275
n23624,1,0,42.622203,141.538753
n23625,1,50,42.629401,141.604396
n23626,1,0,42.637037,141.569074
n23627,1,0,42.632061,141.565105
n23628,1,50,42.641363,141.616119
n23629,1,0,42.630333,141.550408
n23630,1,50,42.654334,141.61384
n23631,1,50,42.639057,141.602287
n23632,1,50,42.669733,141.694709
n23633,1,0,42.625224,141.572377
n23634,1,0,42.617666,141.511136
n23635,1,0,42.610277,141.49411
n23636,1,0,42.622667,141.527578
n23637,1,0,42.592329,141.435309
n23638,1,0,42.621696,141.55538
n23639,1,0,42.629064,141.541897
n23640,1,50,42.628613,141.59354
n23641,1,0,42.653501,141.626811
n23642,1,50,42.661111,141.62681
n23643,1,50,42.64661,141.597161
n23644,1,0,42.629085,141.581792
n23645,1,50,42.627785,141.727693
n23646,1,0,42.643512,141.551969
n23647,1,50,42.645778,141.606731
n23648,1,0,45.438466,141.65859
n23649,1,50,45.405467,141.673652
n23650,1,50,45.486238,141.880899
n23651,1,0,45.452908,141.875061
n23652,1,50,45.516038,141.945076
n23653,1,50,45.404109,141.755573
n23654,1,0,45.261141,141.900985
n23655,1,0,45.251457,141.84891
n23656,1,50,45.396916,141.688951
n23657,1,50,45.417302,141.67359
n23658,1,50,45.394695,141.700783
n23659,1,50,45.390362,141.705366
n23660,1,50,45.310832,141.621482
n23661,1,50,45.261233,141.686557
n23662,1,0,45.390835,141.716032
n23663,1,50,45.417496,141.638038
n23664,1,50,45.427144,141.670152
n23665,1,0,45.391972,141.682035
n23666,1,0,43.385611,141.885627
n23667,1,0,43.325001,141.942433
n23668,1,0,43.292291,141.846947
n23669,1,0,43.34009,141.780041
n23670,1,50,43.331865,141.854434
n23671,1,0,43.325341,141.858888
n23672,1,0,43.328149,141.704388
n23673,1,0,43.370896,141.87212
n23674,1,50,43.338397,141.862545
n23675,1,0,43.33107,141.869585
n23676,1,0,43.335126,141.882918
n23677,1,50,43.33482,141.896418
n23678,1,0,43.309878,141.875031
n23679,1,0,43.265244,141.818095
n23680,1,0,43.498353,142.195068
n23681,1,0,43.491092,142.209766
n23682,1,0,43.544049,142.157829
n23683,1,0,43.611966,142.202677
n23684,1,0,43.48948,142.173798
n23685,1,0,43.519088,142.187474
n23686,1,0,43.523836,142.186511
n23687,1,0,43.530704,142.177458
n23688,1,0,43.473818,142.260677
n23689,1,0,43.452179,142.160023
n23690,1,50,43.101451,141.579232
n23691,1,50,43.114113,141.553014
n23692,1,50,43.102918,141.524794
n23693,1,50,43.114556,141.522433
n23694,1,50,43.106307,141.539154
n23695,1,50,43.121652,141.515997
n23696,1,50,43.110557,141.542237
n23697,1,50,43.106682,141.555999
n23698,1,50,43.070573,141.483091
n23699,1,50,43.07492,141.492549
n23700,1,50,43.080864,141.500604
n23701,1,50,43.112058,141.569124
n23702,1,50,43.093114,141.537961
n23703,1,50,43.066116,141.490217
n23704,1,50,43.134331,141.625681
n23705,1,50,43.084171,141.531601
n23706,1,50,43.093781,141.528684
n23707,1,50,43.091697,141.522073
n23708,1,0,43.564712,142.042158
n23709,1,0,43.547553,142.063389
n23710,1,0,43.556884,142.045585
n23711,1,0,43.551913,142.056196
n23712,1,0,43.542445,142.126771
n23713,1,0,43.565328,142.034558
n23714,1,0,43.538139,142.085276
n23715,1,0,44.350246,143.348043
n23716,1,0,44.322345,143.377438
n23717,1,50,44.354512,143.353567
n23718,1,0,44.373258,143.313041
n23719,1,0,44.276773,143.452316
n23720,1,0,44.238274,143.517125
n23721,1,0,44.244271,143.258248
n23722,1,0,44.304405,143.293327
n23723,1,0,44.135164,143.200132
n23724,1,0,44.251801,143.36324
n23725,1,0,44.337458,143.347374
n23726,1,0,44.343525,143.354256
n23727,1,0,44.366732,143.346872
n23728,1,0,44.349818,143.354178
n23729,1,0,44.361784,143.334651
n23730,1,0,44.344707,143.346374
n23731,1,0,44.178965,142.276139
n23732,1,0,44.210325,142.394639
n23733,1,0,44.135282,142.486985
n23734,1,0,44.107153,142.505697
n23735,1,0,44.241678,142.394892
n23736,1,50,44.179497,142.39099
n23737,1,50,44.172637,142.393657
n23738,1,0,44.174499,142.433542
n23739,1,50,44.114372,142.596171
n23740,1,0,44.186294,142.396056
n23741,1,50,44.177138,142.401541
n23742,1,0,44.201479,142.444835
n23743,1,0,44.354146,142.461667
n23744,1,0,44.348385,142.461813
n23745,1,50,44.346452,142.456085
n23746,1,50,44.352834,142.45246
n23747,1,50,44.437877,142.404195
n23748,1,50,44.455217,142.413221
n23749,1,50,44.351981,142.46895
n23750,1,0,44.272107,142.46493
n23751,1,0,44.294346,142.417926
n23752,1,50,44.248716,142.518113
n23753,1,50,43.260573,141.957738
n23754,1,0,43.255736,141.939027
n23755,1,50,43.237163,141.817068
n23756,1,0,43.248441,141.87573
n23757,1,50,43.251355,141.913726
n23758,1,0,43.23108,141.888423
n23759,1,50,43.277807,145.504711
n23760,1,50,43.288142,145.583871
n23761,1,50,43.322208,145.59903
n23762,1,0,43.230028,145.252265
n23763,1,50,43.340362,145.751243
n23764,1,50,43.332359,145.596119
n23765,1,0,43.317165,145.562983
n23766,1,50,43.26817,145.540958
n23767,1,50,43.340358,145.588064
n23768,1,50,43.329304,145.583842
n23769,1,50,43.330914,145.575815
n23770,1,50,43.336748,145.580584
n23771,1,50,43.334748,145.589203
n23772,1,0,43.18548,145.504562
n23773,1,50,43.364777,145.792488
n23774,1,0,42.774005,141.405494
n23775,1,50,42.834424,141.619633
n23776,1,50,42.821658,141.639716
n23777,1,50,42.83173,141.640964
n23778,1,50,42.826093,141.648908
n23779,1,50,42.827176,141.652352
n23780,1,0,42.906753,141.720204
n23781,1,50,42.820248,141.652526
n23782,1,50,42.852616,141.624742
n23783,1,50,42.83473,141.664564
n23784,1,50,42.830232,141.675517
n23785,1,50,42.786095,141.599083
n23786,1,0,42.787184,141.680958
n23787,1,50,42.838813,141.644797
n23788,1,50,42.83137,141.655102
